Vehicle condition,Category,Vehicle Number,Origin,Mileage,Cubic Capacity,Power,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Number of Vehicle Owners,Cylinders
Used vehicle,Estate Car,10,,112973.0,1968.0,135.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),06/2014,New,Automatic air conditioning,"Front, Rear, Camera",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Cloth, Black",21950.0,Audi,,4.0
Used vehicle,Saloon,,German edition,115000.0,1984.0,165.0,Petrol,4.0,4/5,Automatic,Euro6,4 (Green),09/2013,08/2025,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Eissilber Metallic,Silver Metallic,"Cloth, Black",15999.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Estate Car,46,German edition,69950.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2017,New,"Automatic climatisation, 3 zones","Rear, Front",Front and Side and More Airbags,Mondscheinblau Metallic,Blue Metallic,"Alcantara, Grey",23499.0,Audi,,4.0
Used vehicle,Saloon,,German edition,122144.0,1798.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2015,07/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black",16390.0,Audi,1.0,4.0
Used vehicle,Estate Car,51463,,105192.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2015,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Cloth, Black",19280.0,Audi,1.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,HR007960GS,German edition,95000.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2016,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Utopiablau Metallic,Blue Metallic,"Cloth, Black",16480.0,Audi,2.0,
"Used vehicle, Accident-free",Cabriolet / Roadster,714 - GN,German edition,98450.0,1984.0,169.0,Petrol,2.0,2/3,Automatic,Euro6,,05/2017,New,A/C (man.),"Rear, Front",Front and Side Airbags,Daytonagrau ,Grey Metallic,"Full leather, Black",26989.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Saloon,21768,German edition,98500.0,1968.0,110.0,Diesel,5.0,4/5,Manual gearbox,Euro6,4 (Green),07/2015,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Cloth, Black",19930.0,Audi,3.0,
Used vehicle,Cabriolet / Roadster,,German edition,96000.0,2995.0,245.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),07/2012,New,"Automatic climatisation, 3 zones","Rear, Camera, Front",Front and Side Airbags,Estorilblau Kristalleffekt,Blue Metallic,"Full leather, Brown",22850.0,Audi,2.0,6.0
Used vehicle,Saloon,HA134595GK,German edition,92300.0,1984.0,228.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2017,04/2026,"Automatic climatisation, 2 zones","Front, Rear, Self-steering systems",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Alcantara, Black",26980.0,Audi,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,_2551,German edition,114500.0,1984.0,169.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),12/2016,New,"Automatic climatisation, 3 zones","Front, Rear, Camera",Front and Side and More Airbags,Ibis White,White,"Part leather, Black",25670.0,Audi,2.0,
Used vehicle,Sports Car / Coupe,1222-259,German edition,90000.0,1984.0,185.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),01/2017,New,"Automatic climatisation, 3 zones","Camera, Rear, Front",Front and Side Airbags,daytonagrau ,Grey Metallic,"Full leather, Black",27880.0,Audi,,4.0
"Used vehicle, Accident-free",Sports Car / Coupe,,EU edition,95400.0,1984.0,221.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),11/2014,09/2025,Automatic air conditioning,Rear,Front and Side and More Airbags,Individuallackierung Audi exclus,Grey Metallic,"Alcantara, Black",24850.0,Audi,,4.0
Used vehicle,Saloon,009-172,German edition,96300.0,2967.0,235.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),06/2015,,"Automatic climatisation, 4 zones","Front, Rear, Self-steering systems, Camera",Front and Side and More Airbags,mythosschwarz,Black Metallic,"Full leather, Black",26880.0,Audi,,6.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,K-242,,103400.0,1984.0,185.0,Petrol,5.0,4/5,Automatic,Euro6d,1 (None),09/2017,,"Automatic climatisation, 4 zones","Front, Rear, Camera",Front and Side and More Airbags,Ibis White,White Metallic,Alcantara,24950.0,Audi,1.0,
Used vehicle,Saloon,,German edition,114158.0,1798.0,132.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),11/2013,New,Automatic air conditioning,"Front, Camera, Rear",Front and Side and More Airbags,Eissilber Metallic,Silver Metallic,"Cloth, Black",14000.0,Audi,2.0,
Used vehicle,Cabriolet / Roadster,,German edition,94950.0,1984.0,169.0,Petrol,2.0,2/3,Manual gearbox,Euro6,4 (Green),04/2015,New,Automatic air conditioning,"Front, Rear",Front and Side Airbags,Brillantschwarz LY9B,Black,"Cloth, Grey",22990.0,Audi,2.0,
Used vehicle,Cabriolet / Roadster,,,73156.0,1798.0,130.0,Petrol,4.0,2/3,Manual gearbox,Euro6,4 (Green),04/2016,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Ibisweiß,White,"Alcantara, Black",19399.0,Audi,2.0,
"Used vehicle, Accident-free",Sports Car / Coupe,,German edition,100300.0,1984.0,169.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),03/2015,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Tangorot Metallic,Red Metallic,"Full leather, Black",23499.0,Audi,1.0,4.0
Used vehicle,Sports Car / Coupe,,,72633.0,1984.0,169.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),06/2015,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Full leather, Black",27999.0,Audi,2.0,4.0
Used vehicle,Cabriolet / Roadster,,German edition,80000.0,1984.0,140.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),02/2018,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Individuallackierung Audi exclus,Blue Metallic,"Alcantara, Grey",24777.0,Audi,1.0,4.0
"Used vehicle, Accident-free",Estate Car,,,111812.0,1798.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2018,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Alcantara, Black",23480.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,125000.0,1197.0,63.0,Petrol,4.0,2/3,Manual gearbox,Euro5,4 (Green),10/2012,New,Automatic air conditioning,,Front and Side and More Airbags,Gletscherweiss Metallic,White Metallic,"Part leather, Black",8450.0,Audi,,4.0
"Used vehicle, Repaired accident damage",Sports Car / Coupe,,,93900.0,2995.0,245.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),07/2013,,"Automatic climatisation, 3 zones","Camera, Rear",Front and Side and More Airbags,,Black,Part leather,25990.0,Audi,2.0,
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,88900.0,1984.0,200.0,Petrol,2.0,2/3,Automatic,,,01/2013,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Dakotagrau Metallic,Grey Metallic,"Full leather, Black",24900.0,Audi,2.0,4.0
Used vehicle,Estate Car,,,104800.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,,,07/2017,,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,,Silver Metallic,"Cloth, Black",16490.0,Audi,,
"Used vehicle, Accident-free",Saloon,,German edition,93909.0,1798.0,132.0,Petrol,5.0,2/3,Manual gearbox,Euro5,4 (Green),04/2013,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Part leather, Black",16990.0,Audi,2.0,
Used vehicle,Saloon,A020589,German edition,92581.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),09/2017,New,Automatic air conditioning,Rear,,Monsungrau Metallic,Grey Metallic,"Cloth, Black",16990.0,Audi,2.0,4.0
Used vehicle,Estate Car,HT172R | 1982203,,111970.0,1798.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,,02/2016,04/2025,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Moonlightblauw metallic,Blue Metallic,"Part leather, Black",21291.0,Audi,,4.0
Used vehicle,Saloon,002,German edition,86119.0,1984.0,294.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2014,09/2025,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Full leather, Black",24950.0,Audi,1.0,
Used vehicle,Saloon,927-404,German edition,70000.0,1395.0,92.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2016,New,Automatic air conditioning,"Camera, Front, Rear",Front and Side Airbags,florettsilber,Silver Metallic,"Cloth, Grey",17480.0,Audi,,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,83579.0,1395.0,110.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),08/2014,08/2025,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Misanorot Perleffekt,Red Metallic,"Part leather, Black",17890.0,Audi,1.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,89900.0,1984.0,165.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2013,10/2025,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,,Blue Metallic,"Full leather, Black",19890.0,Audi,2.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,,103428.0,1984.0,155.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),07/2013,New,Automatic air conditioning,,Front and Side and More Airbags,IBISWEISS,White Metallic,,19980.0,Audi,,
"Used vehicle, Accident-free",Saloon,,German edition,100980.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),06/2015,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Part leather, Black",22990.0,Audi,,4.0
Used vehicle,Estate Car,,German edition,78734.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),11/2017,,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black,"Cloth, Black",18790.0,Audi,2.0,4.0
Used vehicle,Estate Car,A094429,German edition,111500.0,1984.0,185.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2016,New,Automatic air conditioning,"Rear, Front, Camera",,Brillantschwarz,Black,"Full leather, Black",22490.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,94107.0,1984.0,169.0,Petrol,2.0,2/3,Automatic,Euro6,,07/2015,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Brillantschwarz,Black,"Alcantara, Black",23600.0,Audi,2.0,4.0
Used vehicle,Saloon,,German edition,102593.0,1395.0,92.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2014,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Cloth, Black",12999.0,Audi,,4.0
"Used vehicle, Accident-free",Saloon,,German edition,92000.0,1798.0,125.0,Petrol,5.0,4/5,Automatic,,,08/2015,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Mondscheinblau Metallic,Blue Metallic,"Cloth, Black",17490.0,Audi,1.0,4.0
Used vehicle,Saloon,,,99980.0,1984.0,221.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),01/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Phantomschwarz perleffekt LZ9Y,Black Metallic,"Full leather, Grey",25490.0,Audi,1.0,
"Used vehicle, Accident-free",Saloon,542,German edition,114180.0,2967.0,200.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),05/2015,07/2026,"Automatic climatisation, 4 zones","Rear, Front",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Alcantara, Black",23999.0,Audi,,6.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,2685,German edition,65000.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,Euro 6e,4 (Green),04/2022,New,Automatic air conditioning,"Rear, Front, Camera",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Other, Black",22900.0,Audi,,4.0
Used vehicle,Sports Car / Coupe,65323,,44000.0,1984.0,140.0,Petrol,4.0,2/3,Manual gearbox,Euro6d-TEMP,4 (Green),06/2019,New,Automatic air conditioning,"Self-steering systems, Rear, Front",Front and Side and More Airbags,Manhattangrau Metallic,Grey Metallic,"Full leather, Other",28990.0,Audi,,4.0
"Used vehicle, Accident-free",Sports Car / Coupe,28,EU edition,94000.0,2480.0,250.0,Petrol,2.0,2/3,Manual gearbox,Euro5,4 (Green),10/2009,,Automatic air conditioning,Rear,Front and Side and More Airbags,Misanorot Perleffekt,Red Metallic,"Alcantara, Black",25000.0,Audi,2.0,5.0
Used vehicle,Estate Car,G071067156,German edition,112767.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),08/2017,06/2026,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Argusbraun Metallic,Brown Metallic,"Cloth, Black",17530.0,Audi,3.0,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0433C,German edition,85791.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),10/2017,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Cloth, Other",20950.0,Audi,,
"Used vehicle, Accident-free",Estate Car,A6 AVANT,German edition,114000.0,1798.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2015,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Cloth, Black",19900.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Saloon,,,79000.0,1798.0,169.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2014,02/2026,"Automatic climatisation, 2 zones","Camera, Front, Rear",Front and Side and More Airbags,,White Metallic,"Part leather, Brown",21000.0,Audi,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,081827,German edition,134000.0,1968.0,110.0,Diesel,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),03/2018,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Tangorot Metallic,Red Metallic,"Full leather, Black",19999.0,Audi,1.0,4.0
Used vehicle,Sports Car / Coupe,24,,110990.0,1984.0,165.0,Petrol,4.0,4/5,Automatic,Euro6,4 (Green),04/2014,05/2025,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Ibisweiß,White,"Part leather, Black",22990.0,Audi,1.0,4.0
Used vehicle,Estate Car,2343027,German edition,107000.0,1798.0,125.0,Petrol,5.0,4/5,Manual gearbox,Euro5,4 (Green),01/2013,,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,phantomschwarz,Black Metallic,"Part leather, Black",16990.0,Audi,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,92590.0,3197.0,199.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),05/2012,12/2025,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,"Individuallackierung, Audi exclu",Green,"Full leather, Beige",20890.0,Audi,2.0,6.0
"Used vehicle, Accident-free",Estate Car,2563,German edition,55000.0,1984.0,150.0,Petrol,5.0,4/5,Automatic,Euro 6e,4 (Green),02/2021,New,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Cloth, Black",29900.0,Audi,1.0,4.0
Used vehicle,Cabriolet / Roadster,,German edition,118500.0,1395.0,110.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),06/2017,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Nanograu Metallic,Grey Metallic,"Other, Black",18950.0,Audi,2.0,4.0
Used vehicle,Estate Car,,,117500.0,2967.0,180.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),02/2014,10/2026,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Part leather, Black",20800.0,Audi,2.0,6.0
Used vehicle,Estate Car,,German edition,68999.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2017,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Ibisweiß,White,"Full leather, Black",22500.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,94203.0,1984.0,155.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),08/2012,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side Airbags,Mondscheinblau Metallic,Blue Metallic,"Full leather, Brown",19990.0,Audi,1.0,
Used vehicle,Saloon,,German edition,94000.0,2773.0,150.0,Petrol,4.0,4/5,Automatic,Euro5,4 (Green),11/2013,11/2026,"Automatic climatisation, 4 zones","Front, Camera, Rear",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Full leather, Black",21990.0,Audi,,6.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,R017290,German edition,102000.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),09/2015,,A/C (man.),"Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black,"Cloth, Black",14960.0,Audi,2.0,
Used vehicle,Cabriolet / Roadster,002407n,German edition,89481.0,2995.0,200.0,Petrol,4.0,2/3,Automatic,Euro5,4 (Green),07/2012,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,,Black Metallic,"Full leather, Black",20650.0,Audi,2.0,
Used vehicle,Saloon,,,99000.0,1984.0,221.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),10/2013,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Misanorot Perleffekt,Red Metallic,"Full leather, Black",21990.0,Audi,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,8789,German edition,96182.0,1968.0,130.0,Diesel,5.0,4/5,Automatic,Euro5,4 (Green),06/2013,07/2026,"Automatic climatisation, 3 zones","Camera, Rear, Front",Front and Side and More Airbags,Ibisweiß,White,"Full leather, Black",20990.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Estate Car,,,115600.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),01/2016,04/2026,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,,White,"Part leather, Black",21700.0,Audi,2.0,
Used vehicle,Cabriolet / Roadster,WAUZZZ8V7F1095657,German edition,99000.0,1798.0,132.0,Petrol,4.0,2/3,Manual gearbox,Euro6,4 (Green),02/2015,02/2024,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Monsungrau Metallic,Grey Metallic,"Alcantara, Black",16999.0,Audi,1.0,
"Used vehicle, Accident-free",Sports Car / Coupe,,,83950.0,1984.0,155.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),09/2014,03/2025,Automatic air conditioning,Rear,Front and Side and More Airbags,,Grey Metallic,"Alcantara, Black",20990.0,Audi,2.0,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,200-887,German edition,92400.0,1968.0,130.0,Diesel,5.0,4/5,Automatic,Euro5,4 (Green),10/2013,New,"Automatic climatisation, 3 zones","Front, Rear",Front and Side Airbags,lavagrau,Grey Metallic,"Full leather, Black",20880.0,Audi,,4.0
Used vehicle,Saloon,,German edition,95480.0,1984.0,221.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),01/2014,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Phantomschwarz perleffekt LZ9Y,Black Metallic,"Full leather, Black",26990.0,Audi,1.0,
Used vehicle,Cabriolet / Roadster,AM-247041,,79700.0,1798.0,118.0,Petrol,4.0,2/3,Manual gearbox,Euro5,4 (Green),06/2013,,Automatic air conditioning,"Front, Rear",Front and Side Airbags,scubablau metallic,Blue Metallic,"Full leather, Black",13401.0,Audi,3.0,4.0
Used vehicle,Cabriolet / Roadster,AM-247041,German edition,79700.0,1798.0,118.0,Petrol,4.0,2/3,Manual gearbox,Euro5,4 (Green),06/2013,,Automatic air conditioning,"Front, Rear",Front and Side Airbags,scubablau metallic,Blue Metallic,"Full leather, Black",13401.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Sports Car / Coupe,,German edition,88700.0,1984.0,200.0,Petrol,2.0,2/3,Manual gearbox,Euro5,4 (Green),06/2012,05/2025,Automatic air conditioning,Rear,Front and Side and More Airbags,Pantherschwarz Kristalleffekt,Black Metallic,"Alcantara, Black",24980.0,Audi,3.0,4.0
"Used vehicle, Accident-free",Saloon,,,85000.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2016,11/2025,"Automatic climatisation, 3 zones","Rear, Front, Camera",Front and Side and More Airbags,,Black,"Cloth, Black",21000.0,Audi,2.0,
"Used vehicle, Repaired accident damage",Cabriolet / Roadster,,,99778.0,1984.0,169.0,Petrol,2.0,2/3,Automatic,Euro6,4 (Green),09/2015,09/2026,Automatic air conditioning,Rear,Front and Side Airbags,,Red Metallic,"Part leather, Black",23999.0,Audi,2.0,
Used vehicle,Saloon,,,97000.0,2773.0,150.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),11/2013,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Mondscheinblau Metallic,Blue Metallic,"Full leather, Grey",15990.0,Audi,,6.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,42612,,117437.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2016,New,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Tangorot,Red Metallic,"Full leather, Other",18974.0,Audi,2.0,4.0
Used vehicle,Cabriolet / Roadster,N000209,German edition,88232.0,2967.0,180.0,Diesel,4.0,2/3,Automatic,Euro5,4 (Green),06/2014,07/2025,"Automatic climatisation, 3 zones",,Front and Side and More Airbags,Daytonagrau Perleffekt/Schwarz,Grey Metallic,"Alcantara, Black",22760.0,Audi,2.0,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,,97510.0,1984.0,162.0,Petrol,5.0,4/5,Automatic,Euro6,,04/2015,01/2026,Automatic air conditioning,"Front, Rear",,Utopiablau Metallic,Blue Metallic,"Full leather, Black",19999.0,Audi,2.0,4.0
Used vehicle,Estate Car,,,113000.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro 6e,4 (Green),04/2016,New,"Automatic climatisation, 3 zones","Camera, Front, Rear",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Cloth, Black",20970.0,Audi,1.0,4.0
Used vehicle,Estate Car,874874214746,German edition,99200.0,1984.0,140.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),12/2018,New,Automatic air conditioning,"Front, Rear, Camera",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Other, Black",23888.0,Audi,1.0,4.0
Used vehicle,Cabriolet / Roadster,1055934,German edition,80200.0,1984.0,140.0,Petrol,4.0,2/3,Automatic,Euro6,4 (Green),03/2018,New,Automatic air conditioning,"Front, Rear",Driver Airbag,Arablau Kristalleffekt,Blue Metallic,"Full leather, Black",25930.0,Audi,2.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,German edition,96350.0,1984.0,132.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),03/2018,04/2025,"Automatic climatisation, 2 zones","Rear, Front, Camera, Self-steering systems",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black",22890.0,Audi,1.0,4.0
Used vehicle,Sports Car / Coupe,345 G,German edition,125000.0,2995.0,245.0,Petrol,5.0,2/3,Automatic,Euro6,4 (Green),03/2016,09/2026,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Alcantara, Black",24890.0,Audi,,6.0
Used vehicle,Estate Car,0321C,German edition,69262.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2017,New,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Alcantara, Grey",23950.0,Audi,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,110500.0,2480.0,228.0,Petrol,5.0,4/5,Automatic,Euro5,,06/2014,05/2026,"Automatic climatisation, 2 zones","Rear, Front",,,Black Metallic,"Full leather, Black",24800.0,Audi,2.0,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,104000.0,1984.0,155.0,Petrol,5.0,4/5,Automatic,Euro5,4 (Green),12/2014,05/2026,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Platinbeige Metallic,Beige Metallic,"Part leather, Black",19890.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Estate Car,,German edition,125000.0,1968.0,150.0,Diesel,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),10/2019,New,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Brillantschwarz,Black,"Cloth, Black",26700.0,Audi,1.0,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,R120958,German edition,75100.0,1395.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),09/2014,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Monsungrau Metallic,Grey Metallic,"Cloth, Black",15770.0,Audi,2.0,
Used vehicle,Cabriolet / Roadster,134030,,75189.0,1395.0,92.0,Petrol,4.0,2/3,Manual gearbox,Euro6,4 (Green),04/2015,New,A/C (man.),,Front and Side and More Airbags,Brillantschwarz,Black,"Cloth, Black",14410.0,Audi,2.0,4.0
Used vehicle,Saloon,150513992740,German edition,88435.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,,,12/2017,12/2026,Automatic air conditioning,"Front, Camera, Rear",Front and Side and More Airbags,Brillantschwarz,Black,"Other, Black",16880.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Cabriolet / Roadster,187,German edition,89617.0,1984.0,155.0,Petrol,2.0,2/3,Automatic,Euro5,4 (Green),04/2014,New,Automatic air conditioning,Rear,,Daytonagrau Perleffekt,Grey Metallic,"Part leather, Black",18999.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Saloon,752052132740,German edition,112737.0,1984.0,185.0,Petrol,5.0,4/5,Manual gearbox,,,09/2017,08/2026,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Other, Black",22880.0,Audi,1.0,4.0
Used vehicle,Estate Car,2-121,,82978.0,2967.0,200.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),03/2016,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Manhattangrau Metallic,Grey Metallic,"Full leather, Black",21490.0,Audi,,6.0
