Vehicle condition,Category,Vehicle Number,Origin,Mileage,Cubic Capacity,Power,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Number of Vehicle Owners,Cylinders
"Used vehicle, Accident-free",Saloon,2534,German edition,87000.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),08/2020,New,Automatic air conditioning,"Camera, Rear, Front",Front and Side Airbags,Mythosschwarz Metallic,Black Metallic,"Other, Black",25900.0,Audi,,4.0
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,SGH-SGH076524,German edition,87965.0,1968.0,110.0,Diesel,5.0,4/5,Manual gearbox,Euro6,4 (Green),06/2018,New,"Automatic climatisation, 2 zones",Rear,Front and Side Airbags,Mythosschwarz Metallic,Black Metallic,"Cloth, Black",19889.0,Audi,3.0,4.0
Used vehicle,Cabriolet / Roadster,GW011943,German edition,57087.0,1798.0,132.0,Petrol,2.0,2/3,Manual gearbox,Euro6,,05/2018,10/2024,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Cloth, Black",22990.0,Audi,2.0,
"Used vehicle, Accident-free",Cabriolet / Roadster,,,111000.0,2967.0,180.0,Diesel,4.0,2/3,Automatic,Euro4,4 (Green),02/2016,New,Automatic air conditioning,"Front, Rear",Front and Side Airbags,Mythosschwarz Metallic,Black Metallic,"Full leather, Black",22200.0,Audi,3.0,6.0
Used vehicle,Saloon,0200I,German edition,74840.0,999.0,85.0,Petrol,5.0,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),07/2019,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Misanrot Perleffekt,Red,"Cloth, Black",17490.0,Audi,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,085525,German edition,57679.0,1984.0,162.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),05/2016,New,"Automatic climatisation, 2 zones","Rear, Front",Front and Side and More Airbags,Hainanblau Metallic,Blue Metallic,"Alcantara, Black",26170.0,Audi,2.0,4.0
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,120000.0,1968.0,130.0,Diesel,5.0,4/5,Automatic,Euro5,4 (Green),02/2014,New,Automatic air conditioning,"Front, Rear, Camera",Front and Side and More Airbags,Cuvéesilber Metallic,Silver Metallic,"Full leather, Black",17999.0,Audi,2.0,
"Used vehicle, Accident-free",Estate Car,9-24117375,German edition,86345.0,1984.0,140.0,Petrol,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),02/2020,New,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Manhattangrau Metallic SN 108,Grey Metallic,"Cloth, Black",22890.0,Audi,2.0,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0044E,German edition,69875.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),01/2020,New,"Automatic climatisation, 2 zones","Front, Self-steering systems, Rear",Front and Side and More Airbags,Quantumgrau,Grey,"Part leather, Black",23950.0,Audi,,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,,107000.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),07/2019,,Automatic air conditioning,"Rear, Front",Front and Side and More Airbags,Chronosgrau Metallic,Grey Metallic,"Full leather, Black",21896.0,Audi,1.0,4.0
"Used vehicle, Accident-free",Saloon,,German edition,109790.0,1498.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),08/2019,New,Automatic air conditioning,"Rear, Front, Camera",Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Alcantara, Other",18590.0,Audi,,4.0
Used vehicle,Small Car,,,77135.0,1498.0,110.0,Petrol,5.0,4/5,Automatic,,,04/2019,,No climatisation,,Front and Side and More Airbags,,Red,,22950.0,Audi,,
Used vehicle,Saloon,100621448,German edition,96500.0,2967.0,210.0,Diesel,5.0,4/5,Automatic,Euro6,4 (Green),05/2019,New,"Automatic climatisation, 3 zones","Front, Rear, Camera, Self-steering systems",Front and Side and More Airbags,Ibis White,White,"Part leather, Black",27850.0,Audi,2.0,
Used vehicle,Cabriolet / Roadster,,,122600.0,1984.0,155.0,Petrol,2.0,2/3,Automatic,Euro5,4 (Green),12/2010,05/2025,Automatic air conditioning,Rear,Front and Side and More Airbags,Phantomschwarz Perleffekt,Black Metallic,"Full leather, Brown",13849.0,Audi,2.0,4.0
Used vehicle,Estate Car,1248,German edition,94787.0,1968.0,150.0,Diesel,5.0,4/5,Automatic,Euro6d-TEMP,4 (Green),05/2019,07/2026,"Automatic climatisation, 4 zones","Rear, Front",Front and Side and More Airbags,Firmamentblau Metallic,Blue Metallic,"Cloth, Black",25250.0,Audi,1.0,4.0
Used vehicle,Estate Car,436,German edition,98300.0,1984.0,165.0,Petrol,5.0,4/5,Automatic,Euro6,4 (Green),04/2015,08/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Gletscherweiss,White Metallic,"Alcantara, Black",19999.0,Audi,2.0,4.0
"Used vehicle, Accident-free",Estate Car,,,126000.0,1968.0,150.0,Diesel,5.0,4/5,Automatic,Euro6,,04/2019,,"Automatic climatisation, 2 zones","Front, 360° camera, Rear",Front and Side and More Airbags,,Grey,Black,27100.0,Audi,2.0,
"Used vehicle, Accident-free",Saloon,,German edition,52000.0,1395.0,110.0,Petrol,5.0,4/5,Manual gearbox,Euro6,4 (Green),07/2017,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Ibisweiß,White,"Cloth, Black",18490.0,Audi,2.0,4.0
