,RMSE Train,R² Train,RMSE Test,R² Test,Best Params
Linear Regression,0.11917867312382012,0.7726464659214056,0.12273868273174614,0.7616347033360257,{}
Random Forest,0.04024313522900128,0.9740768224907979,0.10613378761956421,0.821767278818488,"{'max_depth': 20, 'n_estimators': 200}"
SVR,0.09336884719529175,0.860456821503912,0.10421356700807143,0.8281582710979595,"{'C': 1, 'gamma': 'auto'}"
MLP,0.12887116967802423,0.7341625524864599,0.13166710032501125,0.7256944126719168,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
CatBoost,0.07988727953235934,0.897844940356074,0.09939386483856284,0.8436854994283884,"{'depth': 4, 'iterations': 1000, 'learning_rate': 0.05}"
XGBoost,0.07579140097850433,0.9080515341433887,0.10098764507243671,0.838632302861748,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}"
